global_step,epoch,batch,samples_seen,batch_size,train_loss,state_loss,control_loss,lr,elapsed_sec
229,2,75,29189,128,1.8994137048721313,1.8994137048721313,0.831080436706543,0.001,4.729601621627808
230,2,76,29317,128,1.7947900295257568,1.7947900295257568,1.0450810194015503,0.001,4.747344732284546
231,2,77,29445,128,2.450226068496704,2.450226068496704,0.8545801043510437,0.001,4.765335321426392
232,2,78,29573,128,2.0744073390960693,2.0744073390960693,0.8682620525360107,0.001,4.783280849456787
233,2,79,29701,128,1.9884710311889648,1.9884710311889648,0.8409549593925476,0.001,4.801128625869751
234,2,80,29829,128,2.0513124465942383,2.0513124465942383,1.2225923538208008,0.001,4.8187949657440186
235,2,81,29957,128,2.148686170578003,2.148686170578003,1.1155757904052734,0.001,4.837050676345825
236,2,82,30085,128,1.7020009756088257,1.7020009756088257,1.2394033670425415,0.001,4.854712724685669
237,2,83,30213,128,2.1506428718566895,2.1506428718566895,1.3468644618988037,0.001,4.872148513793945
238,2,84,30341,128,1.777525782585144,1.777525782585144,1.4520378112792969,0.001,4.889556169509888
239,2,85,30469,128,2.1186881065368652,2.1186881065368652,1.1008836030960083,0.001,4.9078474044799805
240,2,86,30597,128,2.764800548553467,2.764800548553467,1.1021398305892944,0.001,4.925468444824219
241,2,87,30725,128,1.821017861366272,1.821017861366272,0.9275622963905334,0.001,4.943092346191406
242,2,88,30853,128,2.1348674297332764,2.1348674297332764,0.7607394456863403,0.001,4.961122751235962
243,2,89,30981,128,1.7989623546600342,1.7989623546600342,0.8950421214103699,0.001,4.978531837463379
244,2,90,31109,128,1.89535391330719,1.89535391330719,1.1028718948364258,0.001,4.995748043060303
245,2,91,31237,128,2.2728893756866455,2.2728893756866455,1.030401587486267,0.001,5.01336669921875
246,2,92,31365,128,1.6625210046768188,1.6625210046768188,1.6253626346588135,0.001,5.031227111816406
247,2,93,31493,128,1.6420834064483643,1.6420834064483643,0.9815897941589355,0.001,5.048717498779297
248,2,94,31621,128,2.0503342151641846,2.0503342151641846,1.0945302248001099,0.001,5.066358327865601
249,2,95,31749,128,2.5384180545806885,2.5384180545806885,0.9992536902427673,0.001,5.083771705627441
250,2,96,31877,128,1.6581982374191284,1.6581982374191284,1.187904715538025,0.001,5.101664781570435
251,2,97,32005,128,1.819703221321106,1.819703221321106,1.170789122581482,0.001,5.119414329528809
252,2,98,32133,128,1.7157317399978638,1.7157317399978638,0.9824469089508057,0.001,5.137203216552734
253,2,99,32261,128,2.516786813735962,2.516786813735962,1.3788360357284546,0.001,5.15475606918335
254,2,100,32389,128,2.151909828186035,2.151909828186035,0.9092281460762024,0.001,5.172846078872681
255,2,101,32517,128,1.6936200857162476,1.6936200857162476,0.9988947510719299,0.001,5.190523624420166
256,2,102,32645,128,1.9225144386291504,1.9225144386291504,1.1636645793914795,0.001,5.207956790924072
257,2,103,32773,128,1.70001220703125,1.70001220703125,0.9470290541648865,0.001,5.225655794143677
258,2,104,32901,128,2.480177164077759,2.480177164077759,0.7874897718429565,0.001,5.243626832962036
259,2,105,33029,128,1.7116789817810059,1.7116789817810059,1.1351003646850586,0.001,5.261346340179443
260,2,106,33157,128,1.8689920902252197,1.8689920902252197,1.1381971836090088,0.001,5.278864622116089
261,2,107,33285,128,1.982358455657959,1.982358455657959,1.0058746337890625,0.001,5.297163486480713
262,2,108,33413,128,1.832529902458191,1.832529902458191,0.9152902364730835,0.001,5.314989805221558
263,2,109,33541,128,1.9874787330627441,1.9874787330627441,1.6940553188323975,0.001,5.332876682281494
264,2,110,33669,128,1.7925069332122803,1.7925069332122803,0.8538140058517456,0.001,5.350168704986572
265,2,111,33797,128,2.145005702972412,2.145005702972412,0.9065800309181213,0.001,5.3681886196136475
266,2,112,33925,128,2.135589361190796,2.135589361190796,1.1427134275436401,0.001,5.3857433795928955
267,2,113,34053,128,2.047670841217041,2.047670841217041,1.196858286857605,0.001,5.40316104888916
268,2,114,34181,128,2.4970881938934326,2.4970881938934326,0.9662924408912659,0.001,5.420565843582153
