global_step,epoch,batch,samples_seen,batch_size,train_loss,trajectory_loss,control_loss,regularization,lr,elapsed_sec
81,1,81,10368,128,27.875741958618164,27.83384132385254,0.022081805393099785,3.9692466259002686,0.001,106.3649890422821
82,1,82,10496,128,27.91219139099121,27.870668411254883,0.025177914649248123,3.9005796909332275,0.001,107.69904112815857
83,1,83,10624,128,24.42501449584961,24.384004592895508,0.024475954473018646,3.8562726974487305,0.001,109.03232908248901
84,1,84,10752,128,30.310604095458984,30.270355224609375,0.02695559896528721,3.7554726600646973,0.001,110.31934881210327
85,1,85,10880,128,25.674335479736328,25.635072708129883,0.023339273408055305,3.6927571296691895,0.001,111.65592193603516
86,1,86,11008,128,26.458866119384766,26.420482635498047,0.026716453954577446,3.571073055267334,0.001,113.0027391910553
87,1,87,11136,128,31.463769912719727,31.42670440673828,0.028200382366776466,3.4244792461395264,0.001,114.35465407371521
88,1,88,11264,128,27.56679916381836,27.53101921081543,0.021281739696860313,3.3650949001312256,0.001,115.68727898597717
89,1,89,11392,128,28.917076110839844,28.881412506103516,0.02892906963825226,3.2770237922668457,0.001,117.04019093513489
90,1,90,11520,128,24.939531326293945,24.905492782592773,0.02104361541569233,3.1934924125671387,0.001,118.39915299415588
91,1,91,11648,128,27.47402000427246,27.439790725708008,0.023092657327651978,3.1919565200805664,0.001,119.75024724006653
92,1,92,11776,128,27.6966552734375,27.662872314453125,0.029466891661286354,3.083569288253784,0.001,121.10977911949158
93,1,93,11904,128,27.204389572143555,27.171546936035156,0.02584265172481537,3.025861978530884,0.001,122.47904014587402
94,1,94,12032,128,24.95174789428711,24.91903305053711,0.027987664565443993,2.99169921875,0.001,123.8157913684845
95,1,95,12160,128,20.214099884033203,20.183412551879883,0.020745715126395226,2.8612148761749268,0.001,125.17356204986572
96,1,96,12288,128,25.633935928344727,25.602811813354492,0.024957828223705292,2.862787961959839,0.001,126.51179313659668
97,1,97,12416,128,29.232139587402344,29.200904846191406,0.03102852776646614,2.8131775856018066,0.001,127.87543106079102
98,1,98,12544,128,23.473857879638672,23.44426155090332,0.024932915344834328,2.710264205932617,0.001,129.1739583015442
99,1,99,12672,128,24.834985733032227,24.80657196044922,0.02276954986155033,2.6137330532073975,0.001,130.51616883277893
100,1,100,12800,128,29.10746192932129,29.07916831970215,0.025592530146241188,2.5733625888824463,0.001,131.85216164588928
101,1,101,12928,128,28.44061279296875,28.413524627685547,0.02233177423477173,2.4853992462158203,0.001,133.1607220172882
102,1,102,13056,128,27.614089965820312,27.587162017822266,0.030683983117341995,2.3858237266540527,0.001,134.4767415523529
103,1,103,13184,128,23.283456802368164,23.258058547973633,0.022707084193825722,2.3127188682556152,0.001,135.7751748561859
104,1,104,13312,128,18.909194946289062,18.884767532348633,0.019311925396323204,2.249577760696411,0.001,137.08761882781982
105,1,105,13440,128,25.6750431060791,25.650989532470703,0.022050723433494568,2.1847851276397705,0.001,138.38450074195862
106,1,106,13568,128,26.084339141845703,26.06017303466797,0.020023765042424202,2.2164268493652344,0.001,139.68566131591797
107,1,107,13696,128,25.158987045288086,25.135412216186523,0.020508531481027603,2.152395725250244,0.001,140.96826601028442
108,1,108,13824,128,33.02787780761719,33.00394821166992,0.02652670256793499,2.127887725830078,0.001,142.29149746894836
109,1,109,13952,128,25.988489151000977,25.96525764465332,0.030684707686305046,2.0163490772247314,0.001,143.61204290390015
110,1,110,14080,128,28.684167861938477,28.661666870117188,0.029039710760116577,1.9596723318099976,0.001,144.90825843811035
111,1,111,14208,128,32.777374267578125,32.755889892578125,0.023963449522852898,1.9088850021362305,0.001,146.2135624885559
112,1,112,14336,128,27.044048309326172,27.023218154907227,0.022693417966365814,1.8561108112335205,0.001,147.58456206321716
113,1,113,14464,128,27.07524299621582,27.054336547851562,0.027765760198235512,1.812898874282837,0.001,148.8845820426941
114,1,114,14592,128,25.676746368408203,25.656166076660156,0.0239202119410038,1.8189057111740112,0.001,150.1847357749939
115,1,115,14720,128,21.806482315063477,21.78605079650879,0.019261451438069344,1.8505629301071167,0.001,151.56760835647583
