global_step,epoch,batch,samples_seen,batch_size,train_loss,trajectory_loss,control_loss,regularization,lr,elapsed_sec
89,1,89,11392,128,28.66372299194336,28.642587661743164,0.022605108097195625,1.887441635131836,0.001,114.28035235404968
90,1,90,11520,128,27.52823829650879,27.507022857666016,0.02734648622572422,1.8479584455490112,0.001,115.50065779685974
91,1,91,11648,128,24.819082260131836,24.798009872436523,0.029731154441833496,1.8098446130752563,0.001,116.68777513504028
92,1,92,11776,128,23.28278923034668,23.262537002563477,0.025273164734244347,1.7724052667617798,0.001,117.86582040786743
93,1,93,11904,128,25.76719856262207,25.74773597717285,0.022008070722222328,1.726182222366333,0.001,119.07311701774597
94,1,94,12032,128,26.181934356689453,26.162559509277344,0.02529985085129738,1.684545636177063,0.001,120.265460729599
95,1,95,12160,128,25.36672019958496,25.347339630126953,0.02785167656838894,1.6595454216003418,0.001,121.468679189682
96,1,96,12288,128,27.772869110107422,27.75372886657715,0.02743443287909031,1.6397240161895752,0.001,122.67625999450684
97,1,97,12416,128,30.940488815307617,30.921728134155273,0.026845281943678856,1.6077686548233032,0.001,123.87320065498352
98,1,98,12544,128,30.52718734741211,30.508493423461914,0.029305338859558105,1.576332688331604,0.001,125.07005500793457
99,1,99,12672,128,24.793052673339844,24.77509307861328,0.025721406564116478,1.538657784461975,0.001,126.35786628723145
100,1,100,12800,128,27.009075164794922,26.99127197265625,0.02740905061364174,1.5062452554702759,0.001,127.6284658908844
101,1,101,12928,128,27.114622116088867,27.096899032592773,0.028841638937592506,1.4839701652526855,0.001,128.8965549468994
102,1,102,13056,128,21.984642028808594,21.96751594543457,0.02422119304537773,1.4704697132110596,0.001,130.11465668678284
103,1,103,13184,128,25.018659591674805,25.001705169677734,0.024074574932456017,1.4546738862991333,0.001,131.3969349861145
104,1,104,13312,128,29.780725479125977,29.763479232788086,0.02956940233707428,1.428926706314087,0.001,132.69725489616394
105,1,105,13440,128,28.397226333618164,28.380292892456055,0.027737785130739212,1.416048526763916,0.001,133.9524028301239
106,1,106,13568,128,23.10982322692871,23.093523025512695,0.024318909272551537,1.3868608474731445,0.001,135.18106055259705
107,1,107,13696,128,27.081010818481445,27.065126419067383,0.0226131621748209,1.3623086214065552,0.001,136.4711844921112
108,1,108,13824,128,31.20501708984375,31.189180374145508,0.024127492681145668,1.3423559665679932,0.001,137.70241403579712
109,1,109,13952,128,26.75843048095703,26.742921829223633,0.022622639313340187,1.324735164642334,0.001,139.02814102172852
110,1,110,14080,128,28.417083740234375,28.401302337646484,0.02485707215964794,1.3296024799346924,0.001,140.34442019462585
111,1,111,14208,128,22.45623779296875,22.440998077392578,0.020006760954856873,1.3238916397094727,0.001,141.62930011749268
112,1,112,14336,128,23.828857421875,23.813190460205078,0.02623169682919979,1.3045032024383545,0.001,142.96018767356873
113,1,113,14464,128,25.587968826293945,25.571983337402344,0.030169812962412834,1.296728253364563,0.001,144.21133637428284
114,1,114,14592,128,26.27459144592285,26.258892059326172,0.029208863154053688,1.2778505086898804,0.001,145.55391311645508
115,1,115,14720,128,27.651992797851562,27.636707305908203,0.026559287682175636,1.2630770206451416,0.001,146.81468391418457
116,1,116,14848,128,21.976829528808594,21.96161460876465,0.02630235068500042,1.2583937644958496,0.001,148.1108169555664
117,1,117,14976,128,29.416820526123047,29.40182113647461,0.026457542553544044,1.2354360818862915,0.001,149.41500520706177
118,1,118,15104,128,25.550161361694336,25.535282135009766,0.025620102882385254,1.2316769361495972,0.001,150.76611828804016
119,1,119,15232,128,31.93876075744629,31.923492431640625,0.028811363503336906,1.2386507987976074,0.001,152.03051114082336
120,1,120,15360,128,27.13138771057129,27.116029739379883,0.030280787497758865,1.232983112335205,0.001,153.32425546646118
121,1,121,15488,128,26.882648468017578,26.867948532104492,0.025227373465895653,1.2176395654678345,0.001,154.5809531211853
122,1,122,15616,128,22.901010513305664,22.88671112060547,0.021833205595612526,1.211612343788147,0.001,155.88039255142212
